url	first_seen	portal	title	company	status
https://arbetsformedlingen.se/platsbanken/annonser/30975756	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontendutvecklare (React)	Infinity IT Consulting AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30876702	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontendutvecklare	Techrytera AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30862511	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontendutvecklare | Linköping	Jobway AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30961251	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontendutvecklare med intresse för UX	Skatteverket	added
https://arbetsformedlingen.se/platsbanken/annonser/30951500	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Älskar du TypeScript & React? Ansök via SSH!	5 Monkeys Agency AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30907413	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontend Developer	ASSA ABLOY AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30895924	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Front end/fullstack utvecklare till produktbolag	Kumpan Sweden AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30821267	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Bli vår Kumpan – Fullstackutvecklare	Kumpan Sweden AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30970365	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontend Engineer	Aleido Sweden AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30969627	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Junior Frontend Developer	Effektify AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30961020	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontend Developer – Commercial Digital Freight core	Stena Line Scandinavia AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30959207	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Business Intelligence Front End Specialist	Alfa Laval Technologies AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30868632	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontend Engineer	Consilium Safety Group AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30796017	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Front-end Developer	Kambi Sweden AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30892795	2026-04-30	Arbetsförmedlingen — frontend developer göteborg	Frontend Developer	Etraveli Group AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30932530	2026-04-30	Arbetsförmedlingen — frontendutvecklare	React / Redux - Webbutvecklare till TaxiCaller i Linköping	Taxicaller Nordic AB	added
https://arbetsformedlingen.se/platsbanken/annonser/30949566	2026-04-30	Arbetsförmedlingen — webbutvecklare react	Webbutvecklare med intresse för stadsutveckling	Göteborgs Kommun	added
https://arbetsformedlingen.se/platsbanken/annonser/30953702	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Senior systemutvecklare	Avaron AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30902683	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Mjukvaruutvecklare Frontend, Nivå 4 – Stockholm	Rasulson Consulting AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30871096	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontend Arkitekt till kund inom elhandel	Castra Group AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30776259	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Senior Frontend-utvecklare	Adavo AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30724693	2026-04-30	Arbetsförmedlingen — frontendutvecklare	UX & SEO Designer till OneMed Sverige!	Academic Work Sweden AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30969633	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Senior Frontend Developer	Effektify AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30968528	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Senior Frontend Developer	Billogram AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30932958	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Senior Frontend Developer (with Technical Leadership Focus)	Kambi Sweden AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30863439	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Senior Front-End / Fullstack Developer	Semicon Service Nordic AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30861350	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Senior Frontend Developer	Cyberway AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30853246	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Sr. Frontend Engineer for Portfolio Brands	H & M Hennes & Mauritz Gbc AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30845635	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Senior Front-end Developer	Zynca AB	skipped_title
https://arbetsformedlingen.se/platsbanken/annonser/30923265	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontend / Webbutvecklare	Barona Professionals AB	skipped_location
https://arbetsformedlingen.se/platsbanken/annonser/30684432	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Frontendutvecklare till spännande bolag i Karlstad!	Framtiden i Sverige AB	skipped_expired
https://arbetsformedlingen.se/platsbanken/annonser/30381763	2026-04-30	Arbetsförmedlingen — frontendutvecklare	Webb utvecklare	Xlnt Search AB	skipped_expired
